Platform,Month,url,טקסט,Author,topic,likes,comments,shares,"interactions",views
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_debug-and-validation-soc-engineer-careers-activity-6775752323969953792-7hZv,,Claudine Armaly,טכנולוגי,,,,"5",264
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_intels-new-ceo-is-bringing-back-yet-another-activity-6781845816748384256-5jej,,Claudine Armaly,תרבות ארגונית,,,,"3",588
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_i-am-hiring-our-team-is-developing-state-activity-6777185756365541376-Ow0Z,... and more hiring,Claudine Armaly,תרבות ארגונית,,,,"3",403
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_iamintel-activity-6778063758410551296-yQL4,רוקטלייק צעד ענק לפני כולם,Claudine Armaly,טכנולוגי,,,,"1",118
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_%D7%94%D7%A9%D7%A0%D7%94-%D7%90%D7%A0%D7%97%D7%A0%D7%95-%D7%A4%D7%95%D7%AA%D7%97%D7%95%D7%AA-%D7%93%D7%9C%D7%AA-%D7%90%D7%97%D7%AA-%D7%91%D7%A9%D7%91%D7%99%D7%9C-%D7%94%D7%A9%D7%A0%D7%99%D7%94-activity-6775751640520675328-mUcU,"לכבוד יום האישה... תכירו... אישה חזקה, מדהימה, מקצועית ובקיצור תותחית והכי חשוב תומכת בנשים סביבה (לא רק נשים 😉) Orly Cohen",Claudine Armaly,תרבות ארגונית,,,,"0",126
לינקדאין,Mar-21,https://www.linkedin.com/posts/dafna-hanam-95b76014_iamintel-myintelstory-activity-6777166023041802240-tJe_,"משתתפת מחר בביתן של אינטל בכנס Semiconductor360. אשמח להיפגש (וירטואלית כמובן), לספר על הפרוייקטים שאנחנו עושים ב-EPG, ועל משרות וריפקציה פתוחות . נתראה לינק להרשמה: https://lnkd.in/dkW7KFB",Dafna Hanam,טכנולוגי,23,,,"23",1326
לינקדאין,Mar-21,https://www.linkedin.com/posts/dafna-hanam-95b76014_myintelstory-womensday-activity-6774588303032242176-jyJE,"מכתב לדפנה בת ה-15, בגיל 13 כבר הספקת להילחם ולהוכיח שגם בנות יכולות. הבאת לשינוי החלוקה המגדרית בשיעורי המלאכה (בעזרת עצומה חתומה שנשלחה למשרד החינוך) ופרצת דרך - בנות יכולות להשתתף בשיעורי נגרות ולא רק בשיעורי תפירה. זה יקרה עוד לא מעט פעמים, החיים יגלגלו אותך לדרך שיש בה רוב גברי מוחלט. בפיזיקלית בתיכון, ב-8200, בלימודי הנדסת חשמל, בעבודה ובניהול. אז מה? את תצליחי בכל אתגר שתבחרי כל עוד תמיד תזכרי שנשים יכולות לעשות כל מה שגברים עושים (לפעמים יותר טוב? 😀). את הדרך הזו את עושה עם טל,Tal Kanonich חברה טובה שעוברת איתך את אותו המסלול יחד (מגן חובה ועד היום) – תשמרי על הקשר הזה, חברות של נשים, תעצים אותך ותתן לך את הכוח להתמודד מול כל העולם. השבוע, דניאל הבת שלך, בת ה- 13, בכיתה עם רוב מוחלט של בנים (כאילו כלום לא השתנה), תהתה לגבי יום האישה, אז הסברת לה שאין צורך לתרץ למה צריך יום כזה - שפשוט תדע שנשים יכולות לעשות הכל, וזה מספיק. דפנה",Dafna Hanam,תרבות ארגונית,6,,,"6",50
לינקדאין,Mar-21,https://www.linkedin.com/posts/daniela-rosenstein-90a42b160_uipathcommunity-automationpassion-rpadevelopers-activity-6774990190197936128-vrXU,"למה אוטומציה? תארו לכם שמישהו היה מגיע אליכם הביתה ועושה את כל המטלות שאתם שונאים לעשות במקומכם - עושה כביסה, תולה אותה. מכין לכן ארוחת צהריים, מנקה את השירותים. לא הייתם רוצים שהוא יישאר איתכם לנצח? ככה בדיוק עובדת אוטומציה והרובוטים של הRPA. הרובוט מגיע, קורא את המיילים שלכם, ממיין אותם, עונה במקומכם ובכלל, הוא יעשה כל מה שתבקשו ממנו לעשות (בגבולות הלוגיקה, כמובן) ויפנה לכם זמן לעוד כוס קפה בבוקר ויוריד את מפלס העצבים על ההוא ששלח לכם את אותו המייל כבר בפעם החמישית. אז נכון, זה יכול להיות מפחיד. אולי מישהו יחליף אותי? רובוט וירטואלי? אבל זאת לא המטרה. האוטומציה מגיעה בשביל לקחת מכם את התהליכים הטכניים והמשעממים בעבודה ולפנות לכם זמן לקצת יותר אקשן. התוצאה תהיה עובדים אשר מסופקים מעבודתם. אז קחו רגע, תחשבו איזו משימה משעממת יש לכם ביום יום שלכם, ותחשבו איזה כיף זה יהיה כשיגיע הרובוט ויעשה אותה במקומכם.",Daniela Rosenstien,טכנולוגי,20,3,,"23",1043
לינקדאין,Mar-21,https://www.linkedin.com/posts/daniela-rosenstein-90a42b160_uipath-rpa-development-activity-6781649090666090496-OrQP,"How to get 1 HR totally manual process automated? If you would like to get the shorter answer it is just ""UiPath"". But, let me get a bit into details: One of the most challenging projects I'm recently completing is the development of the CSA project. This journey started 2 years ago when I've joined intel and I've realized that a super technical process is being done on daily basis (for about 30-60 mins each day! ) totally manually. The manual process takes a banking record of a CSA account, gets the daily valuation and along with calculating the difference between the account collateral to the daily valuation the bank should receive an email from the process owner agreeing on a transfer amount. Few months after Intel finance started using UiPath, we've decided to automate the CSA process using the program. We took a huge process that ""stole"" so much time from the users on daily basis, a complex one involving almost 30 different banks with different documents and automated it completely from end to end using the UiPath technology. I'm super pleased and proud to be part of this change.",Daniela Rosenstien,טכנולוגי,5,,,"5",692
לינקדאין,Mar-21,https://www.linkedin.com/posts/efrat-kadosh-8411321_myintelstory-iamintel-womensday-activity-6773226437978660865-EwFw,"3 weeks ago ערב אחד, כשהייתי בת 10, נכנס אבא שלי לחדרי ושאל אותי אם אני רוצה לשחק. בחרתי משחק קופסא ושיחקנו. הרגשתי שהוא מתוח ולא מרוכז במשחק. לאחר מספר סיבובים, אמר לי: ""אפרתי, אני צריך ללכת. לא נפגש בתקופה הקרובה"". נתן לי נשיקה ויצא מהבית. אמא שלי בכתה ואחותי הקטנה בת ה-3 לא הבינה מה קורה. בין לילה המשפחה שלי התפרקה. הוריי התגרשו, אבי טס לחו""ל ונשאר לחיות שם. אמי היתה פקידה עם משכורת מינימום. היא נותרה להתמודד עם שתי ילדות ותקציב מצומצם. נאלצנו לעבור מדירה גדולה וחדשה לדירה קטנה בשיכון ולחשב כל שקל שיוצא. התבגרתי מיד וקיבלתי החלטה: ""לא אהיה לעולם בסיטואציה הזאת!"" לרגל שבוע האישה, במסגרת תכנית ""את"", שיתפתי היום תלמידים ותלמידות מתיכון בויאר בירושלים בסיפור האישי שלי. כיצד החתירה לעצמאות כלכלית ליוותה אותי מגיל צעיר והשפיעה על הדרך שלי. סיפרתי על המסלול שעשיתי מאז ועד היום ונתתי להם טעימה מעולם האינטילגנציה המלאכותית שאני עוסקת בו היום באינטל. המסר שלי היה חד משמעי: ""אתן מסוגלות לעשות הכל!"". קצת קשה לדעת דרך הזום מה עבר, אבל אפילו אם נתתי אומץ לתלמידה אחת ללכת בדרך שלה, היה שווה.",Efrat Kadosh,תרבות ארגונית,150,29,,"179",3439
